"rabs","n","alpha","rsgn","smoothed","plot","subj_id","weights","correct","log_time"
0.7,48,-2.94443897916644,0,0,1,149,1,1,3.401197385
0.5,96,-2.94443897916644,1,0,0,135,1,0,3.465735901
0.7,48,-2.94443897916644,1,1,1,196,1,1,2.77258872
0.5,48,-2.94443897916644,0,1,1,132,1,0,3.178053855
0.9,96,-2.94443897916644,1,1,0,142,1,1,2.197224602
0.9,12,-2.94443897916644,1,0,1,114,1,1,3.178053828
0.7,96,-2.94443897916644,0,1,1,187,1,1,2.302585075
0.5,12,-2.94443897916644,0,0,1,59,1,0,2.56494935
0.3,12,-2.94443897916644,1,0,0,144,1,0,3.433987195
0.7,48,-2.94443897916644,1,0,1,149,1,1,2.302585138
0.5,96,-2.94443897916644,1,0,0,32,1,1,2.77258872
0.3,48,-2.94443897916644,1,0,0,137,1,0,3.663561638
0.5,96,-2.94443897916644,1,1,0,148,1,0,3.465735901
0.3,96,-2.94443897916644,0,1,1,176,1,0,2.833213356
0.7,48,-2.94443897916644,0,1,0,42,0.5,0,2.639057339
0.7,48,-2.94443897916644,0,1,0,42,0.5,0,2.639057339
0.5,96,-2.94443897916644,1,1,1,138,1,1,3.218875832
0.7,24,-2.94443897916644,0,0,1,196,1,0,2.708050183
0.7,96,-2.94443897916644,1,1,0,144,1,1,2.56494935
0.5,12,-2.94443897916644,0,0,0,41,1,0,4.060443017
0.3,24,-2.94443897916644,0,0,1,187,1,0,2.639057339
0.3,96,-2.94443897916644,1,0,1,27,1,0,3.496507548
0.9,96,-2.94443897916644,0,0,0,87,1,0,3.951243723
0.9,48,-2.94443897916644,1,0,0,150,1,0,3.401197385
0.5,48,-2.94443897916644,1,0,0,135,0.5,0,3.091042458
0.5,48,-2.94443897916644,1,0,0,135,0.5,0,3.091042458
0.3,96,-2.94443897916644,0,0,1,59,1,1,2.995732287
0.3,24,-2.94443897916644,1,0,0,165,1,0,3.663561654
0.3,48,-2.94443897916644,0,0,0,152,1,0,3.258096554
0.7,48,-2.94443897916644,1,1,0,142,1,1,3.25809653
0.3,96,-2.94443897916644,0,0,1,11,1,0,3.610917909
0.5,48,-2.94443897916644,1,0,1,187,1,1,2.197224602
0.7,48,-2.94443897916644,1,0,0,149,1,1,3.044522432
0.9,48,-2.94443897916644,0,0,1,59,1,1,1.791759493
0.7,48,-2.94443897916644,1,0,0,23,1,0,3.784189639
0.5,12,-2.94443897916644,0,0,0,32,1,0,3.135494231
0.3,24,-2.94443897916644,0,0,1,61,1,0,3.401197385
0.9,48,-2.94443897916644,0,1,0,42,0.5,0,2.639057339
0.9,48,-2.94443897916644,0,1,0,42,0.5,0,2.639057339
0.3,24,-2.94443897916644,0,0,1,132,1,0,3.401197385
0.5,24,-2.94443897916644,1,0,1,158,1,0,2.833213356
0.7,24,-2.94443897916644,1,0,1,17,1,0,2.944438981
0.9,48,-2.94443897916644,0,1,1,138,1,1,2.944438981
0.7,48,-2.94443897916644,0,1,1,187,1,0,2.397895278
0.7,48,-2.94443897916644,0,1,0,165,1,1,2.77258872
0.5,96,-2.94443897916644,0,0,0,197,1,0,4.430816801
0.9,12,-2.94443897916644,0,0,0,135,0.5,0,3.044522432
0.9,12,-2.94443897916644,0,0,0,135,0.5,0,3.044522432
0.3,48,-2.94443897916644,0,0,0,42,0.5,0,2.484906621
0.3,48,-2.94443897916644,0,0,0,42,0.5,0,2.484906621
0.5,48,-2.94443897916644,1,0,1,132,1,1,2.833213356
0.3,12,-2.94443897916644,1,0,0,134,1,0,4.060443006
0.5,96,-2.94443897916644,1,1,0,137,1,1,3.828641398
0.5,24,-2.94443897916644,1,0,0,41,1,0,3.663561654
0.3,12,-2.94443897916644,1,0,0,177,1,0,3.8066625
0.5,12,-2.94443897916644,0,0,0,142,1,0,3.433987195
0.5,48,-2.94443897916644,1,1,0,42,0.5,0,2.397895278
0.5,48,-2.94443897916644,1,1,0,42,0.5,0,2.397895278
0.5,12,-2.94443897916644,0,0,1,196,1,0,3.367295825
0.5,96,-2.94443897916644,0,0,0,27,1,0,3.71357207
0.3,48,-2.94443897916644,1,0,0,100,1,1,3.583518945
0.9,12,-2.94443897916644,0,0,0,135,1,0,2.639057294
0.7,48,-2.94443897916644,1,1,0,148,1,1,3.526360518
0.3,48,-2.94443897916644,1,1,1,11,1,0,3.555348062
0.9,48,-2.94443897916644,1,0,1,17,1,1,1.609437895
0.7,48,-2.94443897916644,0,1,1,158,1,1,2.484906621
0.7,96,-2.94443897916644,1,1,0,137,1,1,2.302585075
0.3,48,-2.94443897916644,1,0,0,176,1,1,4.110873871
0.3,12,-2.94443897916644,1,0,1,132,1,0,3.044522432
0.5,48,-2.94443897916644,0,0,0,183,1,0,3.044522432
0.7,12,-2.94443897916644,0,0,1,61,1,0,2.995732256
0.7,96,-2.94443897916644,1,0,0,142,1,1,2.833213319
0.9,48,-2.94443897916644,0,0,0,138,1,0,3.688879452
0.7,48,-2.94443897916644,1,1,1,42,1,1,2.833213319
0.3,48,-2.94443897916644,0,1,1,199,1,0,3.931825632
0.7,24,-2.94443897916644,0,0,0,134,1,0,2.995732287
0.5,48,-2.94443897916644,0,0,0,14,1,0,4.219507708
0.3,12,-2.94443897916644,1,0,1,118,1,0,4.276666117
0.3,96,-2.94443897916644,0,1,0,149,1,0,3.871201009
0.3,12,-2.94443897916644,1,0,0,196,1,0,2.944438981
0.9,96,-2.94443897916644,0,1,0,93,1,1,3.135494231
0.5,96,-2.94443897916644,1,1,0,59,1,0,3.97029191
0.5,12,-2.94443897916644,1,0,0,123,0.2,0,3.988984047
0.5,12,-2.94443897916644,1,0,0,123,0.2,0,3.988984047
0.5,12,-2.94443897916644,1,0,0,123,0.2,0,3.988984047
0.5,12,-2.94443897916644,1,0,0,123,0.2,0,3.988984047
0.5,12,-2.94443897916644,1,0,0,123,0.2,0,3.988984047
0.9,48,-2.94443897916644,1,0,0,131,0.333333333333333,0,3.871201022
0.9,48,-2.94443897916644,1,0,0,131,0.333333333333333,0,3.871201022
0.9,48,-2.94443897916644,1,0,0,131,0.333333333333333,0,3.871201022
0.9,96,-2.94443897916644,0,1,0,183,1,1,2.302585075
0.7,48,-2.94443897916644,1,0,0,176,1,1,2.833213319
0.3,96,-2.94443897916644,1,1,1,11,1,0,3.178053828
0.5,48,-2.94443897916644,1,0,1,61,1,1,2.484906674
0.3,12,-2.94443897916644,0,0,1,142,1,0,2.708050183
0.3,96,-2.94443897916644,1,1,0,148,1,0,3.25809653
0.3,48,-2.94443897916644,1,0,0,150,1,0,4.304065098
0.7,96,-2.94443897916644,1,0,1,42,1,1,2.397895278
0.5,48,-2.94443897916644,1,0,0,27,1,0,3.496507548
0.3,24,-2.94443897916644,1,0,0,152,1,1,4.304065089
0.3,48,-2.94443897916644,1,0,1,17,1,0,3.496507567
0.5,96,-2.94443897916644,1,0,0,87,1,0,3.931825632
0.9,24,-2.94443897916644,1,0,0,183,1,1,2.397895278
0.3,48,-2.94443897916644,0,0,1,158,1,0,3.465735901
0.3,24,-2.94443897916644,0,0,0,134,1,0,3.135494231
0.7,48,-2.94443897916644,0,0,1,142,1,1,2.197224602
0.9,12,-2.94443897916644,1,0,1,61,1,0,2.397895278
0.3,24,-2.94443897916644,0,0,1,62,1,0,4.174387272
0.3,48,-2.94443897916644,0,1,0,166,1,1,4.682131228
0.7,96,-2.94443897916644,1,0,0,138,1,1,3.433987215
0.9,96,-2.94443897916644,0,1,1,167,1,1,2.07944154
0.7,12,-2.94443897916644,1,0,0,93,1,0,2.56494935
0.7,48,-2.94443897916644,1,0,1,142,1,1,2.07944154
0.9,96,-2.94443897916644,1,1,1,52,1,1,3.850147595
0.3,48,-2.94443897916644,1,1,1,88,1,0,2.890371747
0.5,24,-2.94443897916644,1,0,0,149,1,0,3.496507567
0.5,12,-2.94443897916644,1,0,0,150,1,1,2.890371747
0.5,48,-2.94443897916644,0,1,1,11,1,1,3.091042458
0.5,96,-2.94443897916644,0,0,1,126,1,1,4.158883091
0.5,48,-2.94443897916644,1,0,0,14,0.5,1,3.583518945
0.5,48,-2.94443897916644,1,0,0,14,0.5,0,3.583518945
0.5,96,-2.94443897916644,0,1,1,42,0.5,0,2.639057294
0.5,96,-2.94443897916644,0,1,1,42,0.5,0,2.639057294
0.5,48,-2.94443897916644,1,1,0,124,1,0,2.890371782
0.5,96,-2.94443897916644,0,1,0,23,1,0,4.127134386
