,pic_id,data_id,correlation,autocorrelation,max_null,average_null,pic_name,test_param,smoothed,true_pos,sample_size,n,difficulty,percent,attempt
15,15,8,-0.507081219,-0.06619234,-0.610811793,-0.092659835,szHUU6DHGCxDh.svg,scatter,no,7,5,12,-2,0,4
16,16,8,-0.507081219,-0.06619234,-0.610811793,-0.092659835,lC71LQKPWxRaH.svg,line,no,7,5,12,-2,0,9
17,17,9,-0.294654381,-0.185435022,-0.571079981,-0.170809828,sQ05T5tj4xtsW.svg,scatter,no,10,5,12,-1,0,8
18,18,9,-0.294654381,-0.185435022,-0.571079981,-0.170809828,l5O8EolGnTpjN.svg,line,no,10,5,12,-1,0,8
19,19,10,-0.507334098,-0.36553381,-0.584202456,0.052926976,sf18t1vbsmFSM.svg,scatter,no,2,5,12,-2,0,6
20,20,10,-0.507334098,-0.36553381,-0.584202456,0.052926976,lUJZoVZvoWCoI.svg,line,no,2,5,12,-2,0,5
21,21,11,-0.306112885,-0.118418951,-0.827552894,-0.029223996,seKLJAz59bd29.svg,scatter,no,7,5,12,-1,0,6
22,22,11,-0.306112885,-0.118418951,-0.827552894,-0.029223996,leihIHh6Ea683.svg,line,no,7,5,12,-1,0,11
23,23,12,-0.492802717,-0.308178108,0.711396147,0.13716061,s0z8Hq6d5VZp0.svg,scatter,no,11,5,12,-2,0,5
24,24,12,-0.492802717,-0.308178108,0.711396147,0.13716061,lqACzrk8qeYzS.svg,line,no,11,5,12,-2,0.071428571,14
25,25,13,0.492651787,-0.126806305,-0.455182236,-0.062430027,sQKUyoVqThz36.svg,scatter,no,8,5,12,2,0.25,4
26,26,13,0.492651787,-0.126806305,-0.455182236,-0.062430027,lbX8ILtKlC3GQ.svg,line,no,8,5,12,2,0.333333333,3
27,27,14,0.289451744,0.009845521,-0.7162746,0.063517442,sdppTwXjPIJVR.svg,scatter,no,14,5,12,1,0,9
28,28,14,0.289451744,0.009845521,-0.7162746,0.063517442,loOXKrpyBZe9j.svg,line,no,14,5,12,1,0,7
29,29,15,0.312793985,0.337055494,-0.611446665,0.019578684,sHzf4fnbvxOT1.svg,scatter,no,7,5,12,1,0,12
30,30,15,0.312793985,0.337055494,-0.611446665,0.019578684,lTLekOln7jBi8.svg,line,no,7,5,12,1,0.153846154,13
31,31,16,0.486037914,-0.072848233,-0.588400349,-0.037905651,slvnsxJ1aqAoD.svg,scatter,no,19,5,12,2,0.125,8
32,32,16,0.486037914,-0.072848233,-0.588400349,-0.037905651,lKn8gje9klWFt.svg,line,no,19,5,12,2,0.333333333,3
33,33,17,0.503966554,0.040055836,0.796425754,0.058935952,sEe05NAB88PZb.svg,scatter,no,16,5,12,2,0,2
34,34,17,0.503966554,0.040055836,0.796425754,0.058935952,l5B5b1TyVjv3z.svg,line,no,16,5,12,2,0.333333333,12
35,35,18,0.301901918,0.131871039,0.347690822,-0.007221195,sy5Sx1qtaPIAm.svg,scatter,no,16,5,12,1,0,6
36,36,18,0.301901918,0.131871039,0.347690822,-0.007221195,lw8mpdWZl8cfR.svg,line,no,16,5,12,1,0,18
37,37,19,0.699794131,-0.004991127,-0.612039513,-0.122494088,sLxIoDd7011CT.svg,scatter,no,7,5,12,3,0.5,4
38,38,19,0.699794131,-0.004991127,-0.612039513,-0.122494088,lozq6RFMtQ0bA.svg,line,no,7,5,12,3,0.6,5
39,39,20,0.711263974,0.216376805,-0.610888581,-0.046839464,s2BSdbim9aDIM.svg,scatter,no,7,5,12,3,0.142857143,7
40,40,20,0.711263974,0.216376805,-0.610888581,-0.046839464,le1pfT4N7ybeh.svg,line,no,7,5,12,3,0,5
