"rabs","n","alpha","rsgn","smoothed","design","subj_id","weights","correct","log_time"
0.7,96,-2.94443897916644,1,1,0,18,1,1,2.302585075
0.7,48,-2.94443897916644,1,0,0,18,1,0,4.007333179
0.5,96,-2.94443897916644,0,0,1,18,1,1,3.526360536
0.5,12,-2.94443897916644,0,0,1,18,1,0,3.912023013
0.3,48,-2.94443897916644,1,1,1,18,1,0,3.688879452
0.5,12,-2.94443897916644,0,0,1,18,1,0,2.708050183
0.7,24,-2.94443897916644,0,0,1,18,1,1,3.526360536
0.9,24,-2.94443897916644,1,0,0,19,1,1,2.484906674
0.5,24,-2.94443897916644,1,0,0,19,1,0,4.04305127
0.7,48,-2.94443897916644,1,0,0,19,1,1,2.77258872
0.3,24,-2.94443897916644,0,0,0,19,1,0,3.044522432
0.9,48,-2.94443897916644,1,1,0,19,1,1,2.302585075
0.3,96,-2.94443897916644,1,0,1,19,1,1,2.708050183
0.7,24,-2.94443897916644,0,0,1,19,1,1,2.944438981
0.5,48,-2.94443897916644,0,1,1,19,1,1,2.890371747
0.3,48,-2.94443897916644,1,0,1,19,1,0,2.397895278
0.7,12,-2.94443897916644,0,0,1,19,1,1,2.484906621
0.9,12,-2.94443897916644,0,0,0,20,1,0,4.672828834
0.5,96,-2.94443897916644,0,1,0,20,0.5,0,5.247024074
0.5,96,-2.94443897916644,0,1,0,20,0.5,0,5.247024074
0.5,96,-2.94443897916644,1,0,0,20,1,0,4.73619845
0.5,96,-2.94443897916644,0,1,0,20,1,0,4.73619845
0.9,48,-2.94443897916644,0,1,0,20,0.5,0,4.043051259
0.9,48,-2.94443897916644,0,1,0,20,0.5,1,4.043051259
0.9,96,-2.94443897916644,0,1,1,20,1,0,4.418840607
0.9,48,-2.94443897916644,1,1,1,20,1,0,4.060443017
0.9,48,-2.94443897916644,0,1,1,20,1,0,4.454347296
0.3,48,-2.94443897916644,1,1,1,20,1,0,3.988984047
0.3,96,-2.94443897916644,0,1,1,20,1,1,4.454347296
0.9,96,-2.94443897916644,0,0,1,21,1,1,2.397895278
0.5,96,-2.94443897916644,1,0,1,21,1,1,2.56494935
0.5,96,-2.94443897916644,1,0,1,21,1,1,2.708050183
0.7,48,-2.94443897916644,0,0,1,21,0.5,0,3.091042458
0.7,48,-2.94443897916644,0,0,1,21,0.5,1,3.091042458
0.9,24,-2.94443897916644,1,0,1,21,1,1,3.09104243
0.7,24,-2.94443897916644,0,0,0,21,0.5,0,4.304065098
0.7,24,-2.94443897916644,0,0,0,21,0.5,0,4.304065098
0.3,96,-2.94443897916644,0,1,0,21,1,0,3.367295825
0.3,12,-2.94443897916644,1,0,0,21,0.333333333333333,0,3.178053855
0.3,12,-2.94443897916644,1,0,0,21,0.333333333333333,0,3.178053855
0.3,12,-2.94443897916644,1,0,0,21,0.333333333333333,0,3.178053855
0.3,96,-2.94443897916644,1,1,0,21,1,0,3.295836867
0.3,96,-2.94443897916644,1,1,0,21,1,0,3.332204519
0.7,96,-2.94443897916644,0,0,1,23,1,1,2.484906621
0.7,12,-2.94443897916644,1,0,1,23,1,0,2.944438981
0.3,12,-2.94443897916644,1,0,1,23,1,0,2.564949397
0.5,48,-2.94443897916644,1,0,1,23,1,1,2.07944154
0.9,48,-2.94443897916644,0,0,1,23,1,1,1.791759493
0.7,96,-2.94443897916644,0,0,0,23,1,0,2.890371747
0.5,96,-2.94443897916644,0,0,0,23,1,0,1.791759493
0.5,96,-2.94443897916644,0,0,0,23,1,0,3.135494231
0.3,96,-2.94443897916644,1,1,0,23,1,0,2.639057339
0.5,96,-2.94443897916644,1,0,0,23,1,0,2.302585075
0.5,48,-2.94443897916644,1,1,0,24,1,0,4.304065089
0.3,48,-2.94443897916644,0,1,0,24,1,0,3.97029191
0.9,12,-2.94443897916644,1,0,0,24,1,1,2.890371782
0.3,48,-2.94443897916644,0,1,0,24,1,0,2.833213319
0.7,48,-2.94443897916644,1,1,0,24,1,1,2.197224602
0.9,48,-2.94443897916644,1,0,1,24,1,1,2.197224602
0.5,96,-2.94443897916644,0,1,1,24,1,0,2.397895278
0.5,24,-2.94443897916644,1,0,1,24,1,0,3.295836867
0.7,96,-2.94443897916644,1,0,1,24,1,1,2.07944154
0.7,12,-2.94443897916644,0,0,1,24,1,0,2.302585138
0.9,48,-2.94443897916644,0,0,0,25,1,0,3.496507548
0.7,24,-2.94443897916644,1,0,0,25,1,0,2.944438981
0.5,96,-2.94443897916644,0,1,0,25,0.5,0,3.332204519
