"","subj_id","correct","r","rsgn","rabs","smoothed","n","plot","log_time","actual_location","attempts","weights","response_0","alpha"
"587","44",1,0.9,1,0.9,1,96,"S",2.890371747,14,1,1,"14",-2.94443897916644
"588","109",1,-0.7,0,0.7,0,24,"S",3.367295825,7,1,1,"7",-2.94443897916644
"589","53",1,0.9,1,0.9,0,24,"L",3.912023,13,1,1,"13",-2.94443897916644
"590","88",0,-0.9,0,0.9,0,96,"L",3.761200115,14,4,0.25,"20",-2.94443897916644
"591","88",0,-0.9,0,0.9,0,96,"L",3.761200115,14,4,0.25,"6",-2.94443897916644
"592","88",0,-0.9,0,0.9,0,96,"L",3.761200115,14,4,0.25,"9",-2.94443897916644
"593","88",0,-0.9,0,0.9,0,96,"L",3.761200115,14,4,0.25,"2",-2.94443897916644
"594","52",0,-0.7,0,0.7,1,48,"L",4.574710979,11,1,1,"6",-2.94443897916644
"595","41",1,-0.7,0,0.7,1,96,"S",2.197224602,15,1,1,"15",-2.94443897916644
"596","148",0,0.7,1,0.7,0,24,"S",3.637586162,17,1,1,"5",-2.94443897916644
"597","180",1,0.7,1,0.7,0,48,"L",3.555348062,11,1,1,"11",-2.94443897916644
"598","152",0,-0.3,0,0.3,0,12,"L",4.094344566,5,1,1,"4",-2.94443897916644
"599","96",1,-0.9,0,0.9,0,96,"S",2.944438981,16,1,1,"16",-2.94443897916644
"600","207",0,-0.5,0,0.5,0,96,"S",4.897839799,19,1,1,"16",-2.94443897916644
"601","197",0,-0.5,0,0.5,0,24,"S",3.295836867,18,1,1,"17",-2.94443897916644
"602","51",1,0.3,1,0.3,0,96,"S",2.708050183,11,1,1,"11",-2.94443897916644
"603","203",0,0.3,1,0.3,0,48,"L",4.143134721,10,1,1,"2",-2.94443897916644
"604","177",1,-0.9,0,0.9,0,12,"S",2.56494935,17,1,1,"17",-2.94443897916644
"605","139",1,0.3,1,0.3,1,48,"S",4.077537443,20,2,0.5,"20",-2.94443897916644
"606","139",0,0.3,1,0.3,1,48,"S",4.077537443,20,2,0.5,"9",-2.94443897916644
"607","131",0,-0.5,0,0.5,0,24,"S",3.367295825,18,2,0.5,"17",-2.94443897916644
"608","131",1,-0.5,0,0.5,0,24,"S",3.367295825,18,2,0.5,"18",-2.94443897916644
"609","199",1,0.9,1,0.9,1,48,"L",2.77258872,15,1,1,"15",-2.94443897916644
"610","166",1,0.5,1,0.5,0,96,"S",2.890371747,10,1,1,"10",-2.94443897916644
"611","82",1,0.5,1,0.5,0,48,"L",4.262679881,2,1,1,"2",-2.94443897916644
"612","115",1,-0.3,0,0.3,1,96,"S",3.218875832,10,1,1,"10",-2.94443897916644
"613","84",1,-0.7,0,0.7,0,96,"S",3.135494231,11,1,1,"11",-2.94443897916644
"614","41",1,-0.5,0,0.5,0,96,"S",2.77258872,11,1,1,"11",-2.94443897916644
"615","106",1,0.7,1,0.7,0,48,"S",2.708050225,19,1,1,"19",-2.94443897916644
"616","88",0,-0.5,0,0.5,0,96,"L",2.995732287,19,1,1,"6",-2.94443897916644
"617","203",1,0.7,1,0.7,1,96,"L",2.397895221,3,1,1,"3",-2.94443897916644
"618","186",0,-0.9,0,0.9,1,96,"L",4.043051259,20,1,1,"11",-2.94443897916644
"619","197",1,-0.9,0,0.9,0,96,"S",2.56494935,16,1,1,"16",-2.94443897916644
"620","62",0,-0.5,0,0.5,0,96,"L",3.988984047,11,1,1,"2",-2.94443897916644
"621","177",1,-0.5,0,0.5,1,96,"S",2.77258872,15,1,1,"15",-2.94443897916644
"622","84",1,0.9,1,0.9,1,48,"S",2.07944154,7,1,1,"7",-2.94443897916644
"623","118",0,0.5,1,0.5,0,12,"L",4.941642423,16,1,1,"19",-2.94443897916644
"624","51",1,-0.7,0,0.7,0,24,"S",2.944438981,7,1,1,"7",-2.94443897916644
"625","148",1,-0.9,0,0.9,0,48,"S",3.178053828,5,1,1,"5",-2.94443897916644
"626","53",1,-0.5,0,0.5,1,48,"L",3.496507567,6,1,1,"6",-2.94443897916644
"627","166",1,-0.5,0,0.5,1,48,"S",2.77258872,5,1,1,"5",-2.94443897916644
"628","109",0,-0.3,0,0.3,1,48,"S",3.091042458,7,1,1,"12",-2.94443897916644
"629","123",1,-0.7,0,0.7,0,12,"S",3.970291922,2,4,0.25,"2",-2.94443897916644
"630","123",0,-0.7,0,0.7,0,12,"S",3.970291922,2,4,0.25,"6",-2.94443897916644
"631","123",0,-0.7,0,0.7,0,12,"S",3.970291922,2,4,0.25,"20",-2.94443897916644
"632","123",0,-0.7,0,0.7,0,12,"S",3.970291922,2,4,0.25,"11",-2.94443897916644
